Image Number,Num_Vertices,Perimeter,Contour Area,ratio of perimeter and area,Circularity,Min_Angle_Change,Max_Angle_Change,Mean_Angle_Change,dim1 of tfb,dim2 of tfb,Ratio_Area_to_Bounding_Rect,Symmetry,gradient_magnitude
0001.jpg,65,1557.2548332214355,133254.0,0.011686364636119257,0.6905112261036969,90.0,135.0,132.92307692307693,448.02790091689604,337.0237380363585,0.8748063338672829,7.442907939485084,0.7152473958333333
0002.jpg,351,1507.9726504087448,129395.5,0.011653980628451103,0.7150593786920451,90.0,135.0,133.5897435897436,451.0,335.0,0.8520036609776654,6.927810364138679,0.7073546006944444
0003.jpg,511,1408.489458322525,106259.0,0.013255248574920948,0.6730826356559502,45.00000000000001,135.0,133.15068493150685,452.5185079087926,320.5152102475014,0.6991321626191713,7.528179281073592,0.6540690104166667
0004.jpg,405,1458.523946762085,99592.0,0.014644991031027442,0.5883112997488732,90.0,135.0,133.77777777777777,461.4336355316981,317.26644953414154,0.6538168640529398,7.85392207122054,0.6556401909722223
0005.jpg,108,1544.3675310611725,145343.0,0.010625675340822554,0.7657776015203207,90.0,135.0,133.33333333333334,331.05437619823124,455.0538429680602,0.9541700585593865,6.78622908531182,0.6997938368055555
0006.jpg,357,1555.5289990901947,130420.0,0.011927074061418453,0.6773261391868625,90.0,135.0,133.109243697479,336.53677362214074,439.71126890267436,0.858099705895899,7.249857132149474,0.7127473958333334
0007.jpg,251,1569.487368106842,135363.5,0.01159461278784046,0.6905510497182766,45.00000000000001,135.0,133.02788844621514,450.0,335.0,0.8886551035949686,7.87914722053133,0.7994314236111111
0008.jpg,413,1476.5411919355392,103871.5,0.014215075279894285,0.5987080986378889,90.0,135.0,132.71186440677965,307.9366818032564,471.4541335061132,0.6869808201058201,7.407456076005261,0.6849934895833333
0009.jpg,564,1350.714854001999,111358.0,0.012129481977064952,0.7670151366521453,90.0,135.0,133.40425531914894,323.43314610596116,453.82485608437094,0.7348616830324147,6.789276509851427,0.6326019965277778
0010.jpg,257,1538.0904005765915,126832.5,0.012126942231498957,0.673715739556651,90.0,135.0,132.72373540856032,438.6570414344217,332.54323027239633,0.832649483994643,7.379300279007406,0.70634765625
0011.jpg,184,1521.9066348075867,139080.0,0.010942670655792254,0.7545682463224423,90.0,135.0,132.55434782608697,450.0,336.0,0.9150782632725167,6.610209276714019,0.7367426215277778
0012.jpg,235,1483.931020140648,134039.0,0.01107088996591028,0.7649157727551547,90.0,135.0,132.12765957446808,335.0373113550191,447.0548064835004,0.8819109529104463,6.676874578287766,0.6911349826388888
0013.jpg,271,1510.5756818056107,124030.5,0.01217906629261037,0.6830513920149612,45.00000000000001,135.0,133.17343173431735,436.033255612459,324.7460546334628,0.8166778603034134,7.36745053468666,0.6852560763888889
0014.jpg,236,1514.2914110422134,135846.5,0.011147077113081407,0.7444566256113629,90.0,135.0,133.47457627118644,336.0133925902359,449.0100221598623,0.8918259762086079,6.794265113338668,0.7057725694444444
