Tight-Fitting Boxes (Coordinates),Dimension 1,Dimension 2,Contour Area,Tight fit box Area
"[[102  74]
 [552  74]
 [552 409]
 [102 409]]",450.0,335.0,80624.5,150750.0
"[[102 409]
 [102  74]
 [552  74]
 [552 409]]",335.0,450.0,150360.5,150750.0
"[[ 88  97]
 [540  65]
 [563 383]
 [111 415]]",453.1313275420273,318.8306760648981,123899.5,144472.16750640934
"[[-28 346]
 [103  73]
 [552 291]
 [420 563]]",302.80356668969404,499.1242330322181,75550.0,151136.59798341364
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,109982.5,151536.0
"[[ 93  84]
 [548  73]
 [557 398]
 [102 410]]",455.13294760981654,325.12459150301135,145192.5,147974.91367120307
"[[ 74 354]
 [119  35]
 [568  98]
 [523 417]]",322.158346159152,453.3982796614914,110955.0,146066.03992715076
"[[ 99 405]
 [102  69]
 [553  74]
 [549 410]]",336.0133925902359,451.0277153346566,135025.5,151551.35278182113
"[[101  77]
 [551  73]
 [554 406]
 [104 410]]",450.0177774266257,333.0135132393279,148520.0,149862.00108099452
"[[100 404]
 [105  68]
 [553  75]
 [548 410]]",336.0372003216311,448.0546841625473,134099.0,150563.04165697505
"[[ 84 108]
 [528  11]
 [596 324]
 [153 421]]",454.47222137332,320.30142054009065,106410.5,145568.09810188494
"[[ 96 384]
 [116  48]
 [562  75]
 [541 411]]",336.5947117825828,446.8165171521751,118489.5,150396.07681053385
"[[ 29 279]
 [398  49]
 [574 330]
 [205 560]]",434.81145339100715,331.5674893592555,93032.0,144169.34194550518
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,109982.5,151536.0
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,147628.0,151536.0
"[[ 80  94]
 [533  62]
 [555 378]
 [102 410]]",454.12883634492977,316.76489704511135,88291.5,143852.0740900179
"[[ 99 407]
 [105  73]
 [554  81]
 [548 415]]",334.0538878684096,449.0712638323677,104628.5,150014.00161318274
"[[101  75]
 [548  70]
 [553 407]
 [105 413]]",447.02796333115447,337.0370899470858,127513.0,150665.00388610488
